NAME	double-strand break repair via homologous recombination	exonuclease activity	inorganic phosphate transmembrane transporter activity	carbohydrate metabolic process	organic acid metabolic process	generation of precursor metabolites and energy	tricarboxylic acid cycle	double-strand break repair	lysine metabolic process	threonine metabolic process	NADPH regeneration	transport	phosphate ion transport	organelle organization	NADH dehydrogenase (ubiquinone) activity	aerobic respiration	aspartate family amino acid metabolic process	aspartate family amino acid biosynthetic process	primary active transmembrane transporter activity	oxidoreduction-driven active transmembrane transporter activity	organic cation transport	peptide transport	energy derivation by oxidation of organic compounds	cellular component organization	carbohydrate biosynthetic process	exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters	exodeoxyribonuclease activity, producing 5'-phosphomonoesters	carboxylic acid metabolic process	cellular component assembly	active transmembrane transporter activity	DNA duplex unwinding	oxoacid metabolic process	dicarboxylic acid metabolic process	cellular carbohydrate metabolic process	cellular polysaccharide metabolic process	cellular respiration	nucleoside monophosphate kinase activity	chromosome organization	transmembrane transport	organic substance transport	Actinobacterium-type cell wall biogenesis	DIM/DIP cell wall layer assembly	carbohydrate derivative metabolic process
NADPH regeneration	-0.013719512195122498	-0.024855441442993453	-0.016858442601018913	0.1076125347561437	-0.026112759643916985	0.22797387224385857	-0.02639296187683153	-0.0203504804974541	-0.01931330472102714	-0.015391192817441075	1.0	-0.036560800376015855	-0.021285745001073685	-0.028662420382166758	-0.021285745001073685	-0.029780921953445373	-0.028340877779961988	-0.025406841580869872	-0.03088881037702488	-0.023610980980041184	-0.018156600680871993	-0.01931330472102714	-0.03126356925749052	-0.03571584318171895	-0.030025020850708687	-0.0203504804974541	-0.016858442601018913	-0.025666192275604807	-0.03221270612297028	-0.03234974504722985	-0.023610980980041184	-0.025967169050590617	-0.029252437703140635	0.04237656639127069	-0.027999458947651858	-0.03047780305836192	-0.013719512195122498	-0.025917926565874945	-0.036018009004502693	-0.03307334633268356	-0.03088881037702488	-0.02683563175549867	0.08561738014483491
transport	-0.02063437926330136	-0.06326487263696215	0.08384935539539168	-0.23696281510661066	-0.4020356234096691	-0.023692662782775407	-0.07427869858809084	-0.040464844076581956	-0.036560800376015855	-0.024663258199854106	-0.036560800376015855	1.0	0.12971784536460237	-0.08056872037914722	0.12971784536460237	0.009060904222194693	-0.09209253650879211	-0.06696399505176143	0.36809027937061345	0.16319541630307713	0.09545155799726987	0.10696300275297074	-0.0024596510939378174	-0.14708050535092373	-0.09788257193826123	-0.040464844076581956	-0.028660372889384805	-0.39284681782513536	-0.09461649395637894	0.45106231665036894	-0.05578148410359432	-0.3990018816984373	-0.10246840008782104	-0.14931151291188255	-0.07346341152879024	0.01241317706488422	-0.02063437926330136	-0.07063516515591269	0.8765088207985143	0.5035708064797074	-0.06770952795999785	-0.04731632735173466	-0.26316106130798406
phosphate ion transport	-0.014686248331108367	-0.028220957267697803	0.7737017627441627	-0.04230873542247081	-0.04556213017751485	-0.04094743478130424	-0.03021978021978142	-0.02255253716043087	-0.021285745001073685	-0.016618406143776576	-0.021285745001073685	0.12971784536460237	1.0	-0.03323262839879203	-0.023706896551728505	-0.03474567040627347	-0.032801143070138414	-0.028933931610707918	0.05584912978135293	-0.026627474712545555	-0.019889253022943025	-0.021285745001073685	-0.03678075512004834	-0.04310196348604933	-0.03507839489768852	-0.02255253716043087	-0.018342067651263352	-0.04546232667335127	-0.03810152158673948	0.23089378238341937	-0.026627474712545555	-0.04552958346292826	-0.034028414298810726	-0.03882899129033613	-0.032344668882638844	-0.0356979869174999	-0.014686248331108367	-0.029598624710367043	0.1632855022266208	-0.03931150171395328	-0.03626315023997904	-0.030801540077006126	-0.04395604395604413
organelle organization	0.25357142857143045	0.21151271753681272	-0.023569023569023732	-0.08661854525263647	-0.09043478260869563	-0.08109875735775135	-0.04761904761904726	0.2635658914728691	-0.028662420382166758	-0.02079722703639659	-0.028662420382166758	-0.08056872037914722	-0.03323262839879203	1.0	-0.03323262839879203	-0.0599173553719005	-0.05436013590033762	-0.04450261780104454	-0.06457739791073251	-0.03927068723702693	-0.026186579378067728	-0.028662420382166758	-0.06623735050597958	0.37982195845697336	-0.06091370558375636	0.14573643410852713	0.16835016835016692	-0.08960573476702514	0.15306980656013347	-0.07131011608623541	0.7068723702664792	-0.09016393442622961	-0.05781584582441243	-0.07319013524264194	-0.05311778290993183	-0.06280667320902912	-0.01785714285714196	0.8297055057618441	-0.07448275862068986	-0.04587155963302835	-0.06457739791073251	-0.04907975460122833	-0.09381663113006355
NADH dehydrogenase (ubiquinone) activity	-0.014686248331108367	-0.028220957267697803	-0.018342067651263352	-0.04230873542247081	-0.04556213017751485	0.27276275104319947	-0.03021978021978142	-0.02255253716043087	-0.021285745001073685	-0.016618406143776576	-0.021285745001073685	0.12971784536460237	-0.023706896551728505	-0.03323262839879203	1.0	0.27567803071560887	-0.032801143070138414	-0.028933931610707918	0.4703543898773454	0.8768047030344955	-0.019889253022943025	-0.021285745001073685	0.27204755491571064	-0.04310196348604933	-0.03507839489768852	-0.02255253716043087	-0.018342067651263352	-0.04546232667335127	-0.03810152158673948	0.3847150259067357	-0.026627474712545555	-0.04552958346292826	-0.034028414298810726	-0.03882899129033613	-0.032344668882638844	0.30150600882308154	-0.014686248331108367	-0.029598624710367043	0.1632855022266208	-0.03931150171395328	-0.03626315023997904	-0.030801540077006126	-0.04395604395604413
aerobic respiration	-0.0182849936948287	-0.045385631143931966	-0.024320115011380542	0.025399019459623393	-0.018443804034582314	0.6044563324837868	0.7810858143607711	-0.03232098077458855	-0.029780921953445373	-0.021379861153775916	-0.029780921953445373	0.009060904222194693	-0.03474567040627347	-0.0599173553719005	0.27567803071560887	1.0	-0.05852920153050463	-0.047258435582822333	0.20133796014738975	0.3460969764951807	-0.027117059201683967	-0.029780921953445373	0.8844964741028936	-0.10204555121611655	-0.0661974510176908	-0.03232098077458855	-0.024320115011380542	-0.014860886905327192	-0.07785483716322109	0.16104207405538368	-0.041401111507674775	-0.017272684948088975	0.013341855077094717	0.005522347301028593	-0.05709150047077018	0.947453814668682	-0.0182849936948287	-0.04905784502607865	0.032447048219918374	-0.0830799812909264	-0.0705469895896687	-0.05245308614062779	-0.05918350238913591
aspartate family amino acid metabolic process	-0.017731806427778034	-0.042123738481788436	-0.023351171033428795	-0.08374714803382068	0.167198838896952	-0.05349316153561742	-0.04673807205452717	-0.030631780472238437	0.5325723282818343	0.3876235496347228	-0.028340877779961988	-0.09209253650879211	-0.032801143070138414	-0.05436013590033762	-0.032801143070138414	-0.05852920153050463	1.0	0.8218018114582772	-0.0629678215911729	-0.03866958223040707	-0.025917926565874487	-0.028340877779961988	-0.029060212161960457	-0.08691326581371718	-0.059479553903344896	-0.030631780472238437	-0.023351171033428795	0.17577157354331444	-0.0687257107793001	-0.069352508316253	-0.03866958223040707	0.1699991790878493	0.35780016572898904	-0.07112943753624036	-0.05202393855143364	-0.061283115225022326	-0.017731806427778034	-0.045268783401447396	-0.08872458410351199	-0.07276552300219646	-0.0629678215911729	-0.048144433299899946	-0.09045742676032208
aspartate family amino acid biosynthetic process	-0.016536964980544314	-0.03595267992862202	-0.02132234366600821	-0.06243966755350437	0.11964809384164231	-0.05951943981703658	-0.03926096997690615	-0.027232679215055268	0.605612753238126	0.4240276093647979	-0.025406841580869872	-0.06696399505176143	-0.028933931610707918	-0.04450261780104454	-0.028933931610707918	-0.047258435582822333	0.8218018114582772	1.0	-0.05011053795136331	-0.03340585304232006	-0.023442213220716806	-0.025406841580869872	-0.05110433802346408	-0.06418288179894596	-0.047876085425956255	-0.027232679215055268	-0.02132234366600821	0.12595031717592367	-0.05369026581945345	-0.05407204674902078	-0.03340585304232006	0.12170491181490585	0.33440096086477755	-0.05514615140509684	-0.04292458008562755	-0.04903772479379753	-0.016536964980544314	-0.038218947105476415	-0.06516530905606105	-0.05612451152135785	-0.05011053795136331	-0.04024859425865533	-0.06609525492621678
primary active transmembrane transporter activity	-0.018696728072586787	-0.048009884387962776	0.07495131322701032	-0.09090529480541146	-0.12532188841201747	0.21950512275275427	-0.05409705648369142	-0.03363006923837695	-0.03088881037702488	-0.02194492254733104	-0.03088881037702488	0.36809027937061345	0.05584912978135293	-0.06457739791073251	0.4703543898773454	0.20133796014738975	-0.0629678215911729	-0.05011053795136331	1.0	0.5651775906261445	-0.02803256724724343	-0.03088881037702488	0.19810401921953136	-0.08062120442965373	-0.03843441466854739	-0.03363006923837695	-0.025053950207906624	-0.12412136625339999	-0.08591023944170394	0.8729606846750471	-0.043573782497253036	-0.12492924065110181	-0.06765171892847859	-0.06245698554714432	-0.02406804907686825	0.21848221018715192	-0.018696728072586787	-0.052138354063725266	0.4485488126649076	0.06560828969606254	-0.07709750566893421	-0.055990119390696376	-0.09159553512803667
oxidoreduction-driven active transmembrane transporter activity	-0.015756893640969178	-0.032459063903780234	-0.020042949176806973	-0.05260622410636844	-0.057731958762886434	0.3365149575136767	-0.03513174404015069	-0.02517985611510998	-0.023610980980041184	-0.018002571795971204	-0.023610980980041184	0.16319541630307713	-0.026627474712545555	-0.03927068723702693	0.8768047030344955	0.3460969764951807	-0.03866958223040707	-0.03340585304232006	0.5651775906261445	1.0	-0.021904948171326762	-0.023610980980041184	0.33163310175006483	-0.05383818961692038	-0.04187437686939269	-0.02517985611510998	-0.020042949176806973	-0.0575718126847783	-0.04625550660793046	0.46755053921379125	-0.030368763557483008	-0.057679713268477435	-0.0403867727976916	-0.047332059385564895	-0.03803673734569854	0.3652763195571247	-0.015756893640969178	-0.034295046271094844	0.2044790652385586	-0.04805099289041499	-0.043573782497253036	-0.03592046183450891	-0.055177355786456356
organic cation transport	-0.013125512715339108	-0.022972002871501713	-0.015970340795667937	-0.031513559921215996	-0.033283803863298614	-0.030752061504122404	-0.02427921092564325	-0.019070321811675565	-0.018156600680871993	-0.014647543484891687	-0.018156600680871993	0.09545155799726987	-0.019889253022943025	-0.026186579378067728	-0.019889253022943025	-0.027117059201683967	-0.025917926565874487	-0.023442213220716806	-0.02803256724724343	-0.021904948171326762	1.0	-0.018156600680871993	-0.0283408777799637	-0.011104040027211527	-0.02731929425156531	-0.019070321811675565	-0.015970340795667937	-0.0332305120989049	0.01204610451512176	-0.02923057314016237	-0.021904948171326762	-0.033266431910776356	-0.026678194281478825	-0.029541623183751753	-0.025632095841748494	-0.02769363911726268	-0.013125512715339108	-0.023876637373569137	0.10160965794768631	0.2592522155870833	0.02092136452643446	0.04853620955315682	-0.03241849327684656
peptide transport	-0.013719512195122498	-0.024855441442993453	-0.016858442601018913	-0.035169459682873556	-0.03738872403560829	-0.03422368057898139	-0.02639296187683153	-0.0203504804974541	-0.01931330472102714	-0.015391192817441075	-0.01931330472102714	0.10696300275297074	-0.021285745001073685	-0.028662420382166758	-0.021285745001073685	-0.029780921953445373	-0.028340877779961988	-0.025406841580869872	-0.03088881037702488	-0.023610980980041184	-0.018156600680871993	1.0	-0.03126356925749052	-0.03571584318171895	-0.030025020850708687	-0.0203504804974541	-0.016858442601018913	-0.03732148991510023	-0.03221270612297028	-0.03234974504722985	-0.023610980980041184	-0.03736680426226376	-0.029252437703140635	-0.032731153891766326	-0.027999458947651858	-0.03047780305836192	-0.013719512195122498	-0.025917926565874945	0.09704852426213072	0.28753562321883847	-0.03088881037702488	-0.02683563175549867	-0.03630030250252043
energy derivation by oxidation of organic compounds	-0.018833376929114014	-0.048921352131816566	-0.025299934742232324	0.06045246631227602	-0.02453637660484991	0.7065532481110105	0.6738296239447435	-0.034074775201134784	0.014570367153953183	-0.022133415308944904	-0.03126356925749052	-0.0024596510939378174	-0.03678075512004834	-0.06623735050597958	0.27204755491571064	0.8844964741028936	-0.029060212161960457	-0.05110433802346408	0.19810401921953136	0.33163310175006483	-0.0283408777799637	-0.03126356925749052	1.0	-0.12184553586372296	-0.04145255224391887	-0.034074775201134784	-0.025299934742232324	-0.020162662692032488	-0.08887321460059983	0.15841296581370362	-0.04432327851552285	-0.02310554141374558	-0.0015724956220294348	0.06700712722375012	0.0452804429443666	0.9366582210961466	-0.018833376929114014	-0.053215077605321966	0.02351916376306625	-0.09574727929003775	-0.07947535874293793	-0.057233704292528095	-0.06706820771609946
cellular component organization	0.064667710897293	0.038361196335023905	-0.02813852813852804	-0.05668971988074849	-0.18624338624338593	-0.18380544379469324	-0.07087227414330191	0.06348174628967651	-0.03571584318171895	-0.024275837538625614	-0.03571584318171895	-0.14708050535092373	-0.04310196348604933	0.37982195845697336	-0.04310196348604933	-0.10204555121611655	-0.08691326581371718	-0.06418288179894596	-0.08062120442965373	-0.05383818961692038	-0.011104040027211527	-0.03571584318171895	-0.12184553586372296	1.0	0.0776699029126213	0.022316108763947774	0.03480872868627934	-0.17799918052230893	0.5808647422160593	-0.1061550587560908	0.2271853276142584	-0.18352961219839428	-0.05894086357947429	0.019893127347759075	0.10635657673524923	-0.11072032851086441	-0.020362497202953606	0.28503680488257543	-0.1461564977593932	-0.006390886040777217	0.38377799086242903	0.31292655597433056	-0.02610827645616547
carbohydrate biosynthetic process	-0.018376722817763858	-0.04595500239348996	-0.02448265811716601	0.510939510939511	-0.05525179856115074	0.002001000500250552	-0.05150214592274732	-0.03260869565217194	-0.030025020850708687	-0.02150537634408689	-0.030025020850708687	-0.09788257193826123	-0.03507839489768852	-0.06091370558375636	-0.03507839489768852	-0.0661974510176908	-0.059479553903344896	-0.047876085425956255	-0.03843441466854739	-0.04187437686939269	-0.02731929425156531	-0.030025020850708687	-0.04145255224391887	0.0776699029126213	1.0	-0.03260869565217194	-0.02448265811716601	-0.05261598625348118	-0.01957070707070749	-0.05078672690450309	-0.04187437686939269	-0.054390144691730875	-0.0636417206835598	0.6010797840431914	0.740491699936962	-0.0697420995277882	-0.018376722817763858	-0.04972375690607697	-0.0905829596412558	-0.08500795142402721	-0.004936530324400955	-0.0532150776053206	0.11185308848080144
exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters	0.3914590747330941	0.7630922693266823	-0.01764335223692646	-0.038767395626242415	-0.041481481481481196	-0.03762135922330024	-0.028368794326240152	0.3870967741935502	-0.0203504804974541	-0.01604278074866149	-0.0203504804974541	-0.040464844076581956	-0.02255253716043087	0.14573643410852713	-0.02255253716043087	-0.03232098077458855	-0.030631780472238437	-0.027232679215055268	-0.03363006923837695	-0.02517985611510998	-0.019070321811675565	-0.0203504804974541	-0.034074775201134784	0.022316108763947774	-0.03260869565217194	1.0	0.8204158790170141	-0.041398738440810684	-0.0352053646269915	-0.03536911371581285	0.23111510791366582	-0.04145450188701827	-0.03169944232462707	-0.03582554517133889	-0.0302333223792279	-0.03314344899015846	-0.014234875444842041	0.19242658423492948	-0.039800995024875115	-0.036235903124421404	-0.03363006923837695	-0.02888086642599355	-0.04014598540145949
exodeoxyribonuclease activity, producing 5'-phosphomonoesters	0.4937833037300173	0.6005046257359133	-0.014957264957268486	-0.027798284245093202	-0.029166666666666893	-0.02720406180461995	-0.022012578616350153	0.4612476370510408	-0.016858442601018913	-0.013790838942698443	-0.016858442601018913	-0.028660372889384805	-0.018342067651263352	0.16835016835016692	-0.018342067651263352	-0.024320115011380542	-0.023351171033428795	-0.02132234366600821	-0.025053950207906624	-0.020042949176806973	-0.015970340795667937	-0.016858442601018913	-0.025299934742232324	0.03480872868627934	-0.02448265811716601	0.8204158790170141	1.0	-0.029125735529458005	-0.025917926565874116	-0.026006566442024457	0.2713978934451357	-0.02915332579022095	-0.023966522952066614	-0.026252496840733025	-0.02311889718552634	-0.024782873264367674	-0.01243339253996095	0.22352232642174974	-0.028325746079919292	-0.02647217720151306	-0.025053950207906624	-0.02231964926265624	-0.02850004626630928
carboxylic acid metabolic process	-0.02087450592885368	-0.06557774625001492	-0.029125735529458005	-0.06006970020118502	0.9726618705035971	-0.022034719327693172	0.025676295277395785	-0.02976299834649972	0.06757618884035918	0.04527911020136397	-0.025666192275604807	-0.39284681782513536	-0.04546232667335127	-0.08960573476702514	-0.04546232667335127	-0.014860886905327192	0.17577157354331444	0.12595031717592367	-0.12412136625339999	-0.0575718126847783	-0.0332305120989049	-0.03732148991510023	-0.020162662692032488	-0.17799918052230893	-0.05261598625348118	-0.041398738440810684	-0.029125735529458005	1.0	-0.010415092585058535	-0.15764918877515469	-0.04601365079751305	0.9817265522812958	0.19677519232143273	-0.08082978158171351	-0.0931843789705847	-0.015544714678888653	-0.02087450592885368	-0.06204904460908118	-0.3495610534716679	-0.1576309376005888	0.0772138038218361	0.06733722821176903	-0.10100162567517937
cellular component assembly	-0.019173704633644494	-0.05128596504617169	-0.025917926565874116	-0.09221376466856941	-0.015841584158415963	-0.11784938450398263	-0.05829285218598217	-0.0352053646269915	-0.03221270612297028	-0.02260495156081853	-0.03221270612297028	-0.09461649395637894	-0.03810152158673948	0.15306980656013347	-0.03810152158673948	-0.07785483716322109	-0.0687257107793001	-0.05369026581945345	-0.08591023944170394	-0.04625550660793046	0.01204610451512176	-0.03221270612297028	-0.08887321460059983	0.5808647422160593	-0.01957070707070749	-0.0352053646269915	-0.025917926565874116	-0.010415092585058535	1.0	-0.09825095884449025	-0.04625550660793046	-0.014065050860228644	-0.012062805257810795	-0.05177140447068718	-0.0011056213937748985	-0.0828045098884851	-0.019173704633644494	-0.056024899955535994	-0.1100762066045729	-0.008079981589914943	0.6285043917699432	0.6236946344976597	-0.05622617534942774
active transmembrane transporter activity	-0.01922217255252546	-0.05163420766257659	0.26127527216174246	-0.11342013512714917	-0.15932203389830502	0.1788833262240976	-0.05874316939890747	-0.03536911371581285	-0.03234974504722985	-0.022672349400237882	-0.03234974504722985	0.45106231665036894	0.23089378238341937	-0.07131011608623541	0.3847150259067357	0.16104207405538368	-0.069352508316253	-0.05407204674902078	0.8729606846750471	0.46755053921379125	-0.02923057314016237	-0.03234974504722985	0.15841296581370362	-0.1061550587560908	-0.05078672690450309	-0.03536911371581285	-0.026006566442024457	-0.15764918877515469	-0.09825095884449025	1.0	-0.04653859533841042	-0.15877430975125978	-0.07507759958613593	-0.07844672355750493	-0.03499931907939508	0.1763757490950015	-0.01922217255252546	-0.05644073358369453	0.5436156763590392	0.037633591652738406	-0.08689192000237714	-0.06098209537315998	-0.11959186901842912
