NAME	double-strand break repair via homologous recombination	recombinational repair	exonuclease activity	exodeoxyribonuclease activity	generation of precursor metabolites and energy	double-strand break repair	DNA recombination	transport	organelle organization	NADH dehydrogenase (ubiquinone) activity	lipid biosynthetic process	aerobic respiration	aspartate family amino acid metabolic process	oxidoreduction-driven active transmembrane transporter activity	organic cation transport	peptide transport	cellular component organization	exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters	carboxylic acid metabolic process	cell cycle process	cellular component assembly	DNA duplex unwinding	cell wall biogenesis	cellular component biogenesis	cellular lipid metabolic process	cellular polysaccharide metabolic process	nucleoside monophosphate kinase activity	chromosome organization	DNA conformation change	organic substance transport	Actinobacterium-type cell wall biogenesis	DIM/DIP cell wall layer assembly	phenolic phthiocerol biosynthetic process	carbohydrate derivative metabolic process	carbohydrate derivative transport
lipid biosynthetic process	-0.020681065074851	-0.03623470204735221	-0.0615492218919396	-0.032424465733234736	-0.1389215066389661	-0.03623470204735221	-0.09707270238800497	-0.18142392482833347	-0.07484279314454717	-0.0437049913086656	1.0	-0.08151922186197362	-0.0782934734255514	-0.05454947974319208	-0.010915622697125517	-0.03623470204735221	0.08286175644811679	-0.03623470204735221	0.1711117040405562	-0.024648709210587778	0.19857808286344683	-0.050981528108915534	0.31182834345685234	0.23230402269210929	0.7831543992458032	0.04041773465799541	-0.020681065074851	-0.07172117962466536	-0.06498273353169777	-0.04871013090391252	0.3716386185916812	0.24879356568364605	0.08906958708373484	0.11138381777066886	0.006496625872125999
aerobic respiration	-0.017757688271852763	-0.028123002627656112	-0.0413097054336371	-0.02577244106018331	0.5932711848004902	-0.028123002627656112	-0.05475916109702703	0.05095079111627207	-0.05377961639714106	0.3430026127152144	-0.08151922186197362	1.0	-0.04823302187190066	0.42331439861694337	-0.02577244106018331	-0.028123002627656112	-0.08283953308626782	-0.028123002627656112	-0.04066509315787375	-0.02060568217296287	-0.06532208422348498	-0.036264502631079526	-0.07001018329938852	-0.07778050576970369	-0.06682391397210438	-0.04823302187190066	-0.017757688271852763	-0.04565561684233619	-0.0428285141712001	-0.06857900845630858	-0.06140595717532535	-0.04565561684233619	-0.017757688271852763	-0.051538653990493184	-0.028123002627656112
aspartate family amino acid metabolic process	-0.01759973181360861	-0.0277288732394373	-0.040464864213884365	-0.025441053986523347	-0.03669365369548096	-0.0277288732394373	-0.053284465745699575	-0.08115646134495139	-0.052356522989882685	-0.03190167103991168	-0.0782934734255514	-0.04823302187190066	1.0	-0.03731674811194942	-0.025441053986523347	-0.0277288732394373	-0.07951058148340091	-0.0277288732394373	0.1731455299807085	0.05519138949583119	-0.06323443008225677	-0.03561179232976726	-0.06761760633673568	-0.07483851807855081	-0.0807360680825648	-0.047085201793722276	-0.01759973181360861	-0.04462588077396348	-0.041921089713481935	-0.06628164663219356	-0.059557572319908936	-0.04462588077396348	-0.01759973181360861	-0.06465973755542408	-0.0277288732394373
oxidoreduction-driven active transmembrane transporter activity	-0.01603114622695355	-0.024025169224904438	-0.03303347588851215	-0.022288557213927977	0.41726977788869474	-0.024025169224904438	-0.04110706323745415	0.19045824540247236	-0.04055258467023298	0.8767484824491938	-0.05454947974319208	0.42331439861694337	-0.03731674811194942	1.0	-0.022288557213927977	-0.024025169224904438	-0.055137532906328716	-0.024025169224904438	-0.05819020420202977	-0.018316615787176443	-0.046786485715449196	-0.029726418946509684	-0.04914349901713002	-0.052849577937398015	-0.05572408462950423	-0.03731674811194942	-0.01603114622695355	-0.035755091067947664	-0.03399757160202839	-0.04843399212395604	-0.04474272930648747	-0.035755091067947664	-0.01603114622695355	-0.05605189990732116	-0.024025169224904438
organic cation transport	-0.01335336337840071	-0.018473380372030477	-0.023374726077430154	-0.017429193899783157	-0.030346429262628833	-0.018473380372030477	-0.027147615157417357	0.11206394784835697	-0.026904669512353683	-0.020236863286192574	-0.010915622697125517	-0.02577244106018331	-0.025441053986523347	-0.022288557213927977	1.0	-0.018473380372030477	-0.012580236577145526	-0.018473380372030477	-0.03367689194877896	-0.014902204284386524	0.012507310928150401	-0.02166892384623463	0.005097770676406475	-0.0060207688908531865	-0.032835880372192726	-0.025441053986523347	-0.01335336337840071	-0.02470540430719419	-0.023853371919671167	0.26952231981711083	0.019158854566877534	0.05119869971556152	-0.01335336337840071	-0.03294943177484516	0.4608082103912778
peptide transport	-0.013957816377171924	-0.01965065502183928	-0.025291999648724854	-0.018473380372030477	-0.03365898336131909	-0.01965065502183928	-0.02976846747519325	0.12545128096221833	-0.029476601373056254	-0.021658280463793513	-0.03623470204735221	-0.028123002627656112	-0.0277288732394373	-0.024025169224904438	-0.018473380372030477	1.0	-0.03649323487984951	-0.01965065502183928	-0.03780590259898669	-0.01565898216615856	-0.032637537590658856	-0.02330677290836476	-0.033767305744194724	-0.03547671840354828	-0.03674925668979219	-0.0277288732394373	-0.013957816377171924	-0.026857232605621	-0.025853328827308283	0.29874338101635967	-0.031629681694948404	-0.026857232605621	-0.013957816377171924	-0.03689154568744702	-0.01965065502183928
cellular component organization	0.060896174863388004	0.0831021383755176	0.03340369284997056	0.027521951010068466	-0.16068901239255765	0.06316957616629006	0.08120515392330808	-0.13381800425895538	0.3751236255744952	-0.04408166708850067	0.08286175644811679	-0.08283953308626782	-0.07951058148340091	-0.055137532906328716	-0.012580236577145526	-0.03649323487984951	1.0	0.023304451747834055	-0.15546391752577307	0.05640167727638098	0.54743189404544	0.2016428303381561	0.4785708150820232	0.6151238551369171	-0.025021949078138685	0.06938742975568904	-0.02076502732240388	0.2848392036753445	0.25773321921995346	0.0071448487383242556	0.36074731779504277	0.2848392036753445	0.060896174863388004	-0.02477080276248324	0.06316957616629006
exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters	0.42059553349875994	0.32023289665211113	0.712918240098358	0.8202694034637582	-0.03365898336131909	0.4335274138767573	0.19906896974151533	-0.03683611019943267	0.14700510171946768	-0.021658280463793513	-0.03623470204735221	-0.028123002627656112	-0.0277288732394373	-0.024025169224904438	-0.018473380372030477	-0.01965065502183928	0.023304451747834055	1.0	-0.03780590259898669	-0.01565898216615856	-0.032637537590658856	0.25577689243028034	-0.033767305744194724	-0.009909392023213563	-0.03674925668979219	-0.0277288732394373	-0.013957816377171924	0.19318360295272646	0.21088205474822747	-0.033430806923260246	-0.031629681694948404	-0.026857232605621	-0.013957816377171924	-0.03689154568744702	-0.01965065502183928
carboxylic acid metabolic process	-0.021183545168784564	-0.03780590259898669	-0.06622428134638254	-0.03367689194877896	-0.04972651664626974	-0.02514973305509651	-0.09704531217373114	-0.3376279106338528	-0.09319052663240335	-0.046011442141623435	0.1711117040405562	-0.04066509315787375	0.1731455299807085	-0.05819020420202977	-0.03367689194877896	-0.03780590259898669	-0.15546391752577307	-0.03780590259898669	1.0	-0.012628363358653333	0.004643373677399495	-0.04159836616236248	0.07455599177416344	0.0011471041594471117	0.27225710285017385	-0.08601781136862174	-0.021183545168784564	-0.06575735059972361	-0.05777173768220206	-0.14753522892532978	0.11253210066769377	0.08295297739093534	0.04264042640426398	-0.1029314648369726	-0.02514973305509651
cell cycle process	-0.011818002757531382	-0.01565898216615856	-0.019043840507834427	-0.014902204284386524	-0.02342909511096893	-0.01565898216615856	-0.021475442433882615	-0.024925536918011592	0.10634226353198646	-0.01690790316382418	-0.024648709210587778	-0.02060568217296287	0.05519138949583119	-0.018316615787176443	-0.014902204284386524	-0.01565898216615856	0.05640167727638098	-0.01565898216615856	-0.012628363358653333	1.0	0.10765717481474589	-0.01789606516003267	-0.023481527864746957	0.05449637253247805	-0.024885739021885976	-0.02039329934450294	-0.011818002757531382	0.06167554817856312	0.06927968112365891	-0.023318311489642488	-0.02242751108025872	-0.019917882414608058	-0.011818002757531382	-0.024950906780639895	-0.01565898216615856
cellular component assembly	-0.01945709946848895	-0.032637537590658856	-0.05184336349626652	-0.029513654564269055	-0.10570346206461174	-0.032637537590658856	-0.0749441473156856	-0.08265923912137066	0.15111294028878106	-0.03857668291848509	0.19857808286344683	-0.06532208422348498	-0.06323443008225677	-0.046786485715449196	0.012507310928150401	-0.032637537590658856	0.54743189404544	-0.032637537590658856	0.004643373677399495	0.10765717481474589	1.0	-0.044137131500497175	0.47701643357553947	0.6911046151876585	0.09462263188326958	0.005361339600469991	-0.01945709946848895	-0.05887688005441675	-0.054258134827961456	-0.003168465710756715	0.5991662068542699	0.6117451439800469	0.15783978739559518	-0.06893144729691904	0.0086679639129678
DNA duplex unwinding	0.4357177380376988	0.5348605577689243	0.32406490439552016	0.2702364829669756	-0.04602601156069414	0.4418326693227099	0.4804761375013907	-0.052180169263683726	0.6538176426982947	-0.026185680278333515	-0.050981528108915534	-0.036264502631079526	-0.03561179232976726	-0.029726418946509684	-0.02166892384623463	-0.02330677290836476	0.2016428303381561	0.25577689243028034	-0.04159836616236248	-0.01789606516003267	-0.044137131500497175	1.0	-0.04622879698445963	-0.04949369431298434	-0.05200605895832537	-0.03561179232976726	-0.015708071532138646	0.8060899653979241	0.8623231132075466	-0.04560041794163791	-0.04231377290058601	-0.03418685121107199	-0.015708071532138646	-0.052291476563809114	-0.02330677290836476
cell wall biogenesis	-0.019853087155052754	-0.033767305744194724	-0.054753268085689644	-0.030434451799436414	-0.11854934313986402	-0.033767305744194724	-0.08118103370516218	-0.06525091563323288	-0.07904657667517871	-0.040165041808157824	0.31182834345685234	-0.07001018329938852	-0.06761760633673568	-0.04914349901713002	0.005097770676406475	-0.033767305744194724	0.4785708150820232	-0.033767305744194724	0.07455599177416344	-0.023481527864746957	0.47701643357553947	-0.04622879698445963	1.0	0.7935870133001164	0.21340615852561662	0.022603599832566587	-0.019853087155052754	-0.06265870791148646	-0.05745378350062551	0.022266558289612784	0.8064649813510153	0.522573623981796	0.16557474687313894	0.11027847458165276	0.10640453232281565
cellular component biogenesis	-0.02043190782939251	-0.03547671840354828	-0.03531656011548792	-0.03181617322138809	-0.14268669996562303	-0.03547671840354828	-0.09181721572794875	-0.11482125489964974	0.06648898196182923	-0.04260698819162391	0.23230402269210929	-0.07778050576970369	-0.07483851807855081	-0.052849577937398015	-0.0060207688908531865	-0.03547671840354828	0.6151238551369171	-0.009909392023213563	0.0011471041594471117	0.05449637253247805	0.6911046151876585	-0.04949369431298434	0.7935870133001164	1.0	0.12733768854738167	-0.0054940975573528365	-0.02043190782939251	-0.06881114660094052	-0.06258468618177149	-0.004712631902468305	0.6154154332391104	0.3775055959357156	0.1120917165640347	0.05929234541951288	0.06679258711779051
cellular lipid metabolic process	-0.02084767032344201	-0.03674925668979219	-0.06304875949270256	-0.032835880372192726	-0.1350960748891445	-0.03674925668979219	-0.10085587872633638	-0.25121754853696204	-0.09758230546395348	-0.044455779643725706	0.7831543992458032	-0.06682391397210438	-0.0807360680825648	-0.05572408462950423	-0.032835880372192726	-0.03674925668979219	-0.025021949078138685	-0.03674925668979219	0.27225710285017385	-0.024885739021885976	0.09462263188326958	-0.05200605895832537	0.21340615852561662	0.12733768854738167	1.0	0.023851293344780068	-0.02084767032344201	-0.07376554843573348	-0.0666565152841747	-0.11396766498807277	0.2656719547138168	0.15506973237843916	0.07367526211391348	0.07565966259880223	-0.01823587710604576
cellular polysaccharide metabolic process	-0.01759973181360861	-0.0277288732394373	-0.040464864213884365	-0.025441053986523347	0.024288325933665447	-0.0277288732394373	-0.053284465745699575	-0.08115646134495139	-0.052356522989882685	-0.03190167103991168	0.04041773465799541	-0.04823302187190066	-0.047085201793722276	-0.03731674811194942	-0.025441053986523347	-0.0277288732394373	0.06938742975568904	-0.0277288732394373	-0.08601781136862174	-0.02039329934450294	0.005361339600469991	-0.03561179232976726	0.022603599832566587	-0.0054940975573528365	0.023851293344780068	1.0	-0.01759973181360861	-0.04462588077396348	-0.041921089713481935	-0.06628164663219356	0.016125111417227975	-0.04462588077396348	-0.01759973181360861	0.052704328001866814	-0.0277288732394373
nucleoside monophosphate kinase activity	-0.010822510822501338	-0.013957816377171924	-0.016585466984554494	-0.01335336337840071	-0.019815593659009936	-0.013957816377171924	-0.018399890963610055	-0.020875593280421628	-0.018287965112190198	-0.014941591958705763	-0.020681065074851	-0.017757688271852763	-0.01759973181360861	-0.01603114622695355	-0.01335336337840071	-0.013957816377171924	-0.02076502732240388	-0.013957816377171924	-0.021183545168784564	-0.011818002757531382	-0.01945709946848895	-0.015708071532138646	-0.019853087155052754	-0.02043190782939251	-0.02084767032344201	-0.01759973181360861	1.0	-0.01724450898529591	-0.016825019794138807	-0.019736289577558824	-0.019094380796509137	-0.01724450898529591	-0.010822510822501338	0.05138225222959461	-0.013957816377171924
chromosome organization	0.32183699400979976	0.41322443851107316	0.25811781152697494	0.20300690776107252	-0.06228674650431528	0.3398774933249581	0.4064333202972245	-0.07411632656816337	0.8367703600139812	-0.030753384343728568	-0.07172117962466536	-0.04565561684233619	-0.04462588077396348	-0.035755091067947664	-0.02470540430719419	-0.026857232605621	0.2848392036753445	0.19318360295272646	-0.06575735059972361	0.06167554817856312	-0.05887688005441675	0.8060899653979241	-0.06265870791148646	-0.06881114660094052	-0.07376554843573348	-0.04462588077396348	-0.01724450898529591	1.0	0.9422244216256336	-0.06150984984157581	-0.05567649028801106	-0.04241071428571482	-0.01724450898529591	-0.07434109229236448	-0.026857232605621
DNA conformation change	0.35292953285827244	0.4476174383237579	0.27752740969933354	0.22187143734105313	-0.05714089724242087	0.3687056437985812	0.4290371879775866	-0.06694280884893297	0.7810595405532124	-0.029444182018581094	-0.06498273353169777	-0.0428285141712001	-0.041921089713481935	-0.03399757160202839	-0.023853371919671167	-0.025853328827308283	0.25773321921995346	0.21088205474822747	-0.05777173768220206	0.06927968112365891	-0.054258134827961456	0.8623231132075466	-0.05745378350062551	-0.06258468618177149	-0.0666565152841747	-0.041921089713481935	-0.016825019794138807	0.9422244216256336	1.0	-0.056486390950865134	-0.05152853555036043	-0.039960410738585736	-0.016825019794138807	-0.06712611739758331	-0.025853328827308283
organic substance transport	-0.019736289577558824	-0.033430806923260246	-0.053873983594225856	-0.03016083102715184	-0.1145030577238604	-0.033430806923260246	-0.07926296064959472	0.5518890171906257	-0.047713843334281025	-0.03968985106709629	-0.04871013090391252	-0.06857900845630858	-0.06628164663219356	-0.04843399212395604	0.26952231981711083	0.29874338101635967	0.0071448487383242556	-0.033430806923260246	-0.14753522892532978	-0.023318311489642488	-0.003168465710756715	-0.04560041794163791	0.022266558289612784	-0.004712631902468305	-0.11396766498807277	-0.06628164663219356	-0.019736289577558824	-0.06150984984157581	-0.056486390950865134	1.0	0.012741400982744983	0.0028240804518543626	-0.019736289577558824	-0.11810454260601272	0.29874338101635967
Actinobacterium-type cell wall biogenesis	-0.019094380796509137	-0.031629681694948404	-0.049345728510374914	-0.028687054966445878	-0.09581540868204877	-0.031629681694948404	-0.06983446644989647	-0.06305304054632324	-0.06824914688566415	-0.03717651602935584	0.3716386185916812	-0.06140595717532535	-0.059557572319908936	-0.04474272930648747	0.019158854566877534	-0.031629681694948404	0.36074731779504277	-0.031629681694948404	0.11253210066769377	-0.02242751108025872	0.5991662068542699	-0.04231377290058601	0.8064649813510153	0.6154154332391104	0.2656719547138168	0.016125111417227975	-0.019094380796509137	-0.05567649028801106	-0.05152853555036043	0.012741400982744983	1.0	0.6872069658405889	0.2356792144026175	-0.04880025666570988	0.06215483482277484
DIM/DIP cell wall layer assembly	-0.01724450898529591	-0.026857232605621	-0.03863506386223545	-0.02470540430719419	-0.06228674650431528	-0.026857232605621	-0.0501564333202964	-0.039744604117982356	-0.049333399910120354	-0.030753384343728568	0.24879356568364605	-0.04565561684233619	-0.04462588077396348	-0.035755091067947664	0.05119869971556152	-0.026857232605621	0.2848392036753445	-0.026857232605621	0.08295297739093534	-0.019917882414608058	0.6117451439800469	-0.03418685121107199	0.522573623981796	0.3775055959357156	0.15506973237843916	-0.04462588077396348	-0.01724450898529591	-0.04241071428571482	-0.039960410738585736	0.0028240804518543626	0.6872069658405889	1.0	0.32183699400979976	-0.05742233493342948	0.04648971258049533
phenolic phthiocerol biosynthetic process	-0.010822510822501338	-0.013957816377171924	-0.016585466984554494	-0.01335336337840071	-0.019815593659009936	-0.013957816377171924	-0.018399890963610055	-0.020875593280421628	-0.018287965112190198	-0.014941591958705763	0.08906958708373484	-0.017757688271852763	-0.01759973181360861	-0.01603114622695355	-0.01335336337840071	-0.013957816377171924	0.060896174863388004	-0.013957816377171924	0.04264042640426398	-0.011818002757531382	0.15783978739559518	-0.015708071532138646	0.16557474687313894	0.1120917165640347	0.07367526211391348	-0.01759973181360861	-0.010822510822501338	-0.01724450898529591	-0.016825019794138807	-0.019736289577558824	0.2356792144026175	0.32183699400979976	1.0	-0.002824476214427549	-0.013957816377171924
carbohydrate derivative metabolic process	-0.02089338569576872	-0.03689154568744702	-0.06346874311320079	-0.03294943177484516	0.0397226428628355	-0.03689154568744702	-0.10193487494101015	-0.24869551673113385	-0.09859204381868655	-0.044664172791698355	0.11138381777066886	-0.051538653990493184	-0.06465973755542408	-0.05605189990732116	-0.03294943177484516	-0.03689154568744702	-0.02477080276248324	-0.03689154568744702	-0.1029314648369726	-0.024950906780639895	-0.06893144729691904	-0.052291476563809114	0.11027847458165276	0.05929234541951288	0.07565966259880223	0.052704328001866814	0.05138225222959461	-0.07434109229236448	-0.06712611739758331	-0.11810454260601272	-0.04880025666570988	-0.05742233493342948	-0.002824476214427549	1.0	-0.001442262074200702
carbohydrate derivative transport	-0.013957816377171924	-0.01965065502183928	-0.025291999648724854	-0.018473380372030477	-0.03365898336131909	-0.01965065502183928	-0.02976846747519325	0.12545128096221833	-0.029476601373056254	-0.021658280463793513	0.006496625872125999	-0.028123002627656112	-0.0277288732394373	-0.024025169224904438	0.4608082103912778	-0.01965065502183928	0.06316957616629006	-0.01965065502183928	-0.02514973305509651	-0.01565898216615856	0.0086679639129678	-0.02330677290836476	0.10640453232281565	0.06679258711779051	-0.01823587710604576	-0.0277288732394373	-0.013957816377171924	-0.026857232605621	-0.025853328827308283	0.29874338101635967	0.06215483482277484	0.04648971258049533	-0.013957816377171924	-0.001442262074200702	1.0
