NAME	transition metal ion transport	DNA-binding transcription repressor activity	response to hypoxia	amino acid transmembrane transport	regulation of transcription, DNA-templated	iron ion transport	cellular ion homeostasis	cellular iron ion homeostasis	cellular response to starvation	response to heat	negative regulation of metabolic process	response to inorganic substance	response to metal ion	response to zinc ion	cellular response to iron ion starvation	regulation of gene expression	negative regulation of macromolecule biosynthetic process	iron-sulfur cluster assembly	nonribosomal peptide biosynthetic process	regulation of metabolic process	siderophore biosynthetic process	aromatic compound biosynthetic process	catechol-containing siderophore biosynthetic process	cellular homeostasis	negative regulation of cellular metabolic process	siderophore-dependent iron import into cell	cellular response to stress	iron ion transmembrane transport	homeostatic process	urea catabolic process	alkane catabolic process	secondary metabolite biosynthetic process	negative regulation of transcription, DNA-templated	phenol-containing compound biosynthetic process	response to cadmium ion	response to copper ion	negative regulation of nitrogen compound metabolic process	negative regulation of RNA metabolic process	transition metal ion homeostasis	response to host iron concentration	inorganic ion homeostasis	organic hydroxy compound metabolic process	organic hydroxy compound biosynthetic process	response to oxygen-containing compound	cellular response to oxygen-containing compound
negative regulation of metabolic process	-0.08173076923076922	0.27429805615550845	-0.054172767203513744	-0.047091412742382266	0.34831460674157344	-0.05670446964643157	-0.03971119133574084	-0.10828025477707012	-0.10828025477707012	-0.06563706563706605	1.0	0.08299096138044355	0.10881897885507989	0.06695464362850995	-0.08900523560209407	0.41605839416058404	0.8514698298091798	-0.047091412742382266	-0.023510114816839626	0.4329220267786822	-0.005235602094240985	0.12484548825710753	0.015537600994406662	0.056910569105691616	0.9297218155197654	-0.03671706263498944	-0.16943521594684352	-0.03671706263498944	0.03958691910499168	-0.03671706263498944	-0.03671706263498944	0.04458598726114653	0.7638053581191906	0.004807692307691985	-0.03671706263498944	0.10503418272218755	0.8916750250752254	0.8089171974522295	-0.11935807422266835	-0.047091412742382266	-0.054172767203513744	-0.10811850711812199	-0.047141424272818436	-0.03971119133574084	-0.06563706563706605
response to inorganic substance	0.056451612903226034	0.21107266435986216	0.10539845758354717	-0.049327354260090245	0.19148936170212763	0.018538713195201437	-0.06356311548791413	-0.05494505494505604	-0.12087912087912116	0.08280254777070108	0.08299096138044355	1.0	0.7099373321396599	0.21107266435986216	-0.09734513274336337	0.1549295774647884	0.12981199641897964	-0.049327354260090245	-0.11340206185567031	0.17641077783426534	-0.09734513274336337	-0.002457002457002291	-0.07962771458117987	0.014492753623188815	0.10539845758354717	-0.03806228373702396	-0.00613496932515355	-0.03806228373702396	0.05263157894736802	-0.03806228373702396	-0.03806228373702396	-0.05494505494505604	0.15651358950328023	-0.08870967741935462	0.21107266435986216	0.44157187176835594	0.11733800350262666	0.1428571428571427	-0.008756567425569593	-0.049327354260090245	-0.017994858611825204	-0.09244883556810167	-0.13485113835376586	0.45210384959713523	0.2356687898089177
response to metal ion	0.13068181818181832	0.3530997304582209	-0.10708401976935808	-0.044368600682593795	0.17647058823529427	0.06417546709991753	-0.014679976512038454	-0.0072992700729936156	-0.09489051094890497	0.05116279069767409	0.10881897885507989	0.7099373321396599	1.0	0.3530997304582209	-0.07975460122699461	0.15789473684210528	0.1544333529066353	-0.044368600682593795	-0.09022082018927516	0.14586141817201428	-0.07975460122699461	0.03105590062111818	-0.06745737583395194	-0.04504504504504517	0.13014827018121902	-0.035040431266847374	-0.08185053380782971	-0.035040431266847374	0.013232514177693413	-0.035040431266847374	-0.035040431266847374	-0.0072992700729936156	0.18233438485804404	-0.07386363636363626	0.3530997304582209	0.6797627872498149	0.1418842224744608	0.1678832116788326	0.06015891032917153	-0.044368600682593795	0.05107084019769313	-0.1347988386561597	-0.10329171396140736	-0.014679976512038454	0.05116279069767409
response to zinc ion	-0.031250000000002484	0.3191489361702133	-0.035971223021581886	-0.02439024390243971	0.06666666666666644	-0.026737967914439272	-0.035040431266847374	-0.03448275862069068	-0.03448275862069068	-0.028571428571429407	0.06695464362850995	0.21107266435986216	0.3530997304582209	1.0	-0.03225806451612996	0.04607046070460697	0.09433962264150907	-0.02439024390243971	-0.033846153846156066	0.04249783174327859	-0.03225806451612996	0.0188679245283017	-0.03004291845493821	-0.03703703703703648	0.0791366906474832	-0.021276595744684268	-0.03896103896103895	-0.021276595744684268	0.05263157894736914	-0.021276595744684268	-0.021276595744684268	0.10344827586206763	0.11384615384615353	-0.031250000000002484	0.3191489361702133	0.17596566523605148	0.08629441624365523	0.10344827586206763	0.08629441624365523	-0.02439024390243971	0.0791366906474832	-0.0386398763523962	-0.0355329949238579	-0.035040431266847374	-0.028571428571429407
cellular response to iron ion starvation	0.3125000000000007	-0.03225806451612996	-0.0847457627118639	-0.040000000000001174	-0.1111111111111111	0.40186915887850616	0.8036809815950918	0.8461538461538458	0.8461538461538458	-0.052631578947367655	-0.08900523560209407	-0.09734513274336337	-0.07975460122699461	-0.03225806451612996	1.0	-0.11627906976744186	-0.07975460122699461	-0.040000000000001174	0.24832214765100688	-0.11720698254364108	0.28888888888888953	-0.06367041198501912	0.20661157024793345	0.6363636363636364	-0.0847457627118639	0.4838709677419357	0.4482758620689655	0.31182795698924576	0.5849056603773586	-0.03225806451612996	-0.03225806451612996	0.23076923076923084	-0.07382550335570513	0.18749999999999944	-0.03225806451612996	-0.05785123966942096	-0.08235294117646987	-0.0769230769230775	0.7647058823529413	0.27999999999999836	0.7288135593220342	0.09311740890688312	0.20000000000000107	0.018404907975459087	0.08771929824561425
regulation of gene expression	-0.10416666666666699	0.0894308943089432	-0.027160493827160643	-0.053763440860215214	0.8461538461538461	-0.06666666666666651	-0.16290726817042622	-0.15151515151515124	-0.15151515151515124	0.08994708994708983	0.41605839416058404	0.1549295774647884	0.15789473684210528	0.04607046070460697	-0.11627906976744186	1.0	0.3583959899749373	-0.053763440860215214	-0.09923664122137428	0.9680638722554892	-0.07493540051679601	0.4408602150537636	-0.04986876640419956	-0.14009661835748818	0.3679012345679011	-0.0406504065040648	-0.1609977324263038	-0.0406504065040648	-0.16190476190476227	-0.0406504065040648	-0.0406504065040648	-0.07070707070707077	0.3078880407124679	-0.06250000000000046	0.00271002710027108	0.0761154855643046	0.3830845771144279	0.33333333333333365	-0.1741293532338307	-0.053763440860215214	-0.18518518518518545	-0.25057471264367825	-0.13432835820895522	-0.0025062656641604724	-0.037037037037037424
negative regulation of macromolecule biosynthetic process	-0.07386363636363626	0.3530997304582209	-0.028006589785832776	-0.044368600682593795	0.36470588235294105	-0.052802599512592314	-0.09923664122137466	-0.09489051094890497	-0.09489051094890497	-0.06046511627906971	0.8514698298091798	0.12981199641897964	0.1544333529066353	0.09433962264150907	-0.07975460122699461	0.3583959899749373	1.0	-0.044368600682593795	6.309148264974729E-4	0.3399838231329199	0.018404907975459087	0.1503105590062114	0.03928836174944374	0.027027027027026654	0.9209225700164747	-0.035040431266847374	-0.13879003558718894	-0.035040431266847374	0.013232514177693413	-0.035040431266847374	-0.035040431266847374	0.08029197080291921	0.9091482649842274	0.028409090909089846	-0.035040431266847374	0.1460340993328385	0.9591373439273554	0.8686131386861319	-0.10329171396140736	-0.044368600682593795	-0.10708401976935808	-0.07507258399004621	-0.021566401816118224	-0.014679976512038454	-0.06046511627906971
iron-sulfur cluster assembly	-0.03846153846153862	-0.02439024390243971	-0.045871559633027054	-0.028571428571426576	-0.052631578947368224	-0.03184713375796146	0.07849829351535795	0.08695652173912985	-0.043478260869564314	-0.03448275862069068	-0.047091412742382266	-0.049327354260090245	-0.044368600682593795	-0.02439024390243971	-0.040000000000001174	-0.053763440860215214	-0.044368600682593795	1.0	-0.04247104247104413	-0.05396096440872595	-0.040000000000001174	-0.05527638190954761	-0.03664921465968645	0.047619047619047436	-0.045871559633027054	-0.02439024390243971	-0.05084745762711902	-0.02439024390243971	0.03883495145631084	-0.02439024390243971	-0.02439024390243971	-0.043478260869564314	-0.04247104247104413	-0.03846153846153862	-0.02439024390243971	-0.03664921465968645	-0.04516129032258134	-0.043478260869564314	0.07096774193548284	-0.028571428571426576	0.06422018348623858	-0.05030181086519124	-0.04516129032258134	-0.044368600682593795	-0.03448275862069068
nonribosomal peptide biosynthetic process	-0.06875000000000082	-0.033846153846156066	-0.09666080843585168	-0.04247104247104413	-0.08433734939759045	-0.05013673655423773	0.18233438485804404	0.19685039370078777	0.19685039370078777	-0.05699481865284829	-0.023510114816839626	-0.11340206185567031	-0.09022082018927516	-0.033846153846156066	0.24832214765100688	-0.09923664122137428	6.309148264974729E-4	-0.04247104247104413	1.0	-0.10194042088002181	0.8926174496644298	0.058530510585305326	0.7637407711238728	0.1238095238095237	-0.012302284710017241	-0.033846153846156066	0.05535055350553565	-0.033846153846156066	0.10536779324055648	-0.033846153846156066	-0.033846153846156066	0.9527559055118112	0.01572112098427957	0.7187500000000001	-0.033846153846156066	-0.06316652994257511	-0.006075334143378529	0.007874015748031716	0.1688942891859048	-0.04247104247104413	0.15641476274165184	0.31635735865343123	0.5188335358444714	-0.09022082018927516	-0.05699481865284829
regulation of metabolic process	-0.10491071428571427	0.08412836079791855	-0.03431763766959272	-0.05396096440872595	0.8151260504201682	-0.06697064690795079	-0.12590994877325454	-0.15309446254071696	-0.15309446254071696	0.08319185059422758	0.4329220267786822	0.17641077783426534	0.14586141817201428	0.04249783174327859	-0.11720698254364108	0.9680638722554892	0.3399838231329199	-0.05396096440872595	-0.10194042088002181	1.0	-0.0773067331670826	0.41358760429082236	-0.051980893509412374	-0.10798122065727707	0.3870710295291301	-0.0407632263660019	-0.17073170731707285	-0.0407632263660019	-0.13079299691040175	-0.0407632263660019	-0.0407632263660019	-0.07491856677524422	0.2916097294342716	-0.06473214285714299	8.673026886386918E-4	0.0694015172801351	0.36368505623995717	0.3159609120521173	-0.17621853240492763	-0.05396096440872595	-0.149241819632881	-0.2571713644300323	-0.1376539903588646	-0.009436505796710766	-0.03904923599320896
siderophore biosynthetic process	-0.06249999999999975	-0.03225806451612996	-0.0847457627118639	-0.040000000000001174	-0.06172839506172857	-0.04672897196261572	0.21472392638036805	0.23076923076923084	0.23076923076923084	-0.052631578947367655	-0.005235602094240985	-0.09734513274336337	-0.07975460122699461	-0.03225806451612996	0.28888888888888953	-0.07493540051679601	0.018404907975459087	-0.040000000000001174	0.8926174496644298	-0.0773067331670826	1.0	0.08614232209737833	0.8677685950413229	0.15151515151515194	0.005649717514124453	-0.03225806451612996	0.08045977011494286	-0.03225806451612996	0.13207547169811334	-0.03225806451612996	-0.03225806451612996	0.8461538461538458	0.033557046979865036	0.8125000000000008	-0.03225806451612996	-0.05785123966942096	0.011764705882353269	0.02564102564102476	0.20000000000000107	-0.040000000000001174	0.18644067796610247	0.3522267206477738	0.5764705882352947	-0.07975460122699461	-0.052631578947367655
aromatic compound biosynthetic process	-0.10999999999999988	0.04905660377358485	-0.08550185873605955	-0.05527638190954761	0.5652173913043477	-0.06900878293600982	-0.1180124223602486	-0.10447761194029849	-0.07462686567164202	0.0075187969924811774	0.12484548825710753	-0.002457002457002291	0.03105590062111818	0.0188679245283017	-0.06367041198501912	0.4408602150537636	0.1503105590062114	-0.05527638190954761	0.058530510585305326	0.41358760429082236	0.08614232209737833	1.0	0.11389236545682113	-0.12592592592592594	0.1524163568773235	-0.04150943396226438	-0.12820512820512808	-0.04150943396226438	-0.15270935960591145	-0.04150943396226438	-0.04150943396226438	0.07462686567164176	0.17808219178082216	0.1300000000000001	-0.011320754716981213	-0.006257822277847247	0.16625310173697289	0.1940298507462687	-0.13151364764267956	-0.05527638190954761	-0.14498141263940503	-0.013463892288861837	0.10669975186104211	-0.08819875776397515	-0.08270676691729291
catechol-containing siderophore biosynthetic process	-0.054687500000002054	-0.03004291845493821	-0.07099391480730272	-0.03664921465968645	-0.037974683544304076	-0.04221954161640557	0.1460340993328385	0.15887850467289713	0.15887850467289713	-0.04697986577181078	0.015537600994406662	-0.07962771458117987	-0.06745737583395194	-0.03004291845493821	0.20661157024793345	-0.04986876640419956	0.03928836174944374	-0.03664921465968645	0.7637407711238728	-0.051980893509412374	0.8677685950413229	0.11389236545682113	1.0	0.09677419354838769	0.026369168356997933	-0.03004291845493821	0.04382470119521885	-0.03004291845493821	0.08203991130820355	-0.03004291845493821	-0.03004291845493821	0.7196261682242994	0.05496308449548926	0.9296875000000002	-0.03004291845493821	-0.051094890510950015	0.032531824611032385	0.04672897196261722	0.1343705799151339	-0.03664921465968645	0.12373225152129716	0.3912635039924847	0.6435643564356439	-0.06745737583395194	-0.04697986577181078
cellular homeostasis	0.3333333333333333	-0.03703703703703648	-0.05982905982906047	0.047619047619047436	-0.11111111111111142	0.40229885057471243	0.8198198198198199	0.7777777777777781	0.5555555555555556	-0.0666666666666672	0.056910569105691616	0.014492753623188815	-0.04504504504504517	-0.03703703703703648	0.6363636363636364	-0.14009661835748818	0.027027027027026654	0.047619047619047436	0.1238095238095237	-0.10798122065727707	0.15151515151515194	-0.12592592592592594	0.09677419354838769	1.0	0.07692307692307693	0.25925925925926013	0.34640522875816976	0.25925925925926013	0.9393939393939396	-0.03703703703703648	-0.03703703703703648	0.11111111111111184	0.047619047619046576	0.08333333333333366	-0.03703703703703648	-0.0752688172043004	0.017543859649122737	0.0370370370370369	0.7192982456140354	0.14285714285714243	0.7606837606837609	-0.006802721088434694	0.0877192982456143	0.09909909909909959	0.11111111111111072
negative regulation of cellular metabolic process	-0.07812500000000079	0.30935251798561203	-0.041860465116279076	-0.045871559633027054	0.3793103448275863	-0.05494505494505483	-0.028006589785832776	-0.10204081632653093	-0.10204081632653093	-0.06329113924050564	0.9297218155197654	0.10539845758354717	0.13014827018121902	0.0791366906474832	-0.0847457627118639	0.3679012345679011	0.9209225700164747	-0.045871559633027054	-0.012302284710017241	0.3870710295291301	0.005649717514124453	0.1524163568773235	0.026369168356997933	0.07692307692307693	1.0	-0.035971223021581886	-0.154639175257732	-0.035971223021581886	0.0594594594594596	-0.035971223021581886	-0.035971223021581886	0.06122448979591813	0.831282952548331	0.015624999999998957	-0.035971223021581886	0.12373225152129716	0.9616613418530353	0.8775510204081636	-0.11182108626198031	-0.045871559633027054	-0.041860465116279076	-0.09221556886227528	-0.03514376996805088	-0.028006589785832776	-0.06329113924050564
siderophore-dependent iron import into cell	0.5312500000000001	-0.021276595744684268	-0.035971223021581886	-0.02439024390243971	-0.04000000000000029	0.7433155080213912	0.3530997304582209	0.3793103448275861	0.3793103448275861	-0.028571428571429407	-0.03671706263498944	-0.03806228373702396	-0.035040431266847374	-0.021276595744684268	0.4838709677419357	-0.0406504065040648	-0.035040431266847374	-0.02439024390243971	-0.033846153846156066	-0.0407632263660019	-0.03225806451612996	-0.04150943396226438	-0.03004291845493821	0.25925925925926013	-0.035971223021581886	1.0	0.16883116883116916	0.6595744680851053	0.23308270676691753	-0.021276595744684268	-0.021276595744684268	-0.03448275862069068	-0.033846153846156066	-0.031250000000002484	-0.021276595744684268	-0.03004291845493821	-0.0355329949238579	-0.03448275862069068	0.32994923857868075	0.560975609756097	0.30935251798561203	-0.0386398763523962	-0.0355329949238579	-0.035040431266847374	-0.028571428571429407
cellular response to stress	0.09375000000000062	-0.03896103896103895	0.06529209621993137	-0.05084745762711902	-0.1515151515151513	0.13692946058091354	0.37366548042704606	0.3913043478260869	0.565217391304348	0.12195121951219542	-0.16943521594684352	-0.00613496932515355	-0.08185053380782971	-0.03896103896103895	0.4482758620689655	-0.1609977324263038	-0.13879003558718894	-0.05084745762711902	0.05535055350553565	-0.17073170731707285	0.08045977011494286	-0.12820512820512808	0.04382470119521885	0.34640522875816976	-0.154639175257732	0.16883116883116916	1.0	0.09956709956709911	0.3164556962025317	-0.03896103896103895	-0.03896103896103895	0.04347826086956552	-0.12177121771217679	0.031250000000000375	-0.03896103896103895	-0.01992031872510018	-0.14685314685314652	-0.13043478260869562	0.35664335664335683	0.08474576271186413	0.3402061855670104	-0.032258064516129205	0.02097902097902157	0.14590747330960818	0.18699186991869934
iron ion transmembrane transport	0.5312500000000001	-0.021276595744684268	-0.035971223021581886	-0.02439024390243971	-0.04000000000000029	0.7433155080213912	0.3530997304582209	0.3793103448275861	0.2413793103448268	-0.028571428571429407	-0.03671706263498944	-0.03806228373702396	-0.035040431266847374	-0.021276595744684268	0.31182795698924576	-0.0406504065040648	-0.035040431266847374	-0.02439024390243971	-0.033846153846156066	-0.0407632263660019	-0.03225806451612996	-0.04150943396226438	-0.03004291845493821	0.25925925925926013	-0.035971223021581886	0.6595744680851053	0.09956709956709911	1.0	0.23308270676691753	-0.021276595744684268	-0.021276595744684268	-0.03448275862069068	-0.033846153846156066	-0.031250000000002484	-0.021276595744684268	-0.03004291845493821	-0.0355329949238579	-0.03448275862069068	0.32994923857868075	0.560975609756097	0.30935251798561203	-0.0386398763523962	-0.0355329949238579	-0.035040431266847374	-0.028571428571429407
homeostatic process	0.37931034482758597	-0.03759398496240638	-0.07027027027026961	0.03883495145631084	-0.1304347826086959	0.36470588235294155	0.7618147448015125	0.7209302325581398	0.511627906976744	-0.06849315068493148	0.03958691910499168	0.05263157894736802	0.013232514177693413	0.05263157894736914	0.5849056603773586	-0.16190476190476227	0.013232514177693413	0.03883495145631084	0.10536779324055648	-0.13079299691040175	0.13207547169811334	-0.15270935960591145	0.08203991130820355	0.9393939393939396	0.0594594594594596	0.23308270676691753	0.3164556962025317	0.23308270676691753	1.0	-0.03759398496240638	-0.03759398496240638	0.0930232558139534	0.033797216699800646	0.06896551724137899	0.05263157894736914	0.0022172949002215794	0.003690036900368755	0.023255813953488462	0.800738007380074	0.12621359223301015	0.8378378378378378	-0.024817518248175196	0.07011070110701112	0.081285444234405	0.09589041095890359
